224;29	3;888104457
194;274	2;879539794
234;1184	2;892079237
102;768	2;883748450
63;277	4;875747401
181;1081	1;878962623
201;979	2;884114233
246;201	5;884921594
20;288	1;879667584
201;219	4;884112673
13;526	3;882141053
246;919	4;884920949
223;274	4;891550094
246;416	3;884923047
194;165	4;879546723
254;1444	3;886475558
293;5	3;888906576
222;366	4;878183381
293;685	3;888905170
110;307	4;886987260
194;385	2;879524643
222;750	5;883815120
224;245	3;888082216
82;135	3;878769629
262;1147	4;879791710
293;471	3;888904884
194;1211	2;879551380
82;1134	2;884714402
13;836	2;882139746
13;272	4;884538403
269;504	4;891449922
194;466	4;879525876
49;559	2;888067405
155;323	2;879371261
68;117	4;876973939
172;177	4;875537965
268;231	4;875744136
5;2	3;875636053
254;164	4;886472768
268;1035	2;875542174
13;98	4;881515011
26;258	3;891347949
222;755	4;878183481
293;1267	3;888906966
26;930	2;891385985
13;360	4;882140926
15;405	2;879455957
207;476	2;884386343
224;26	3;888104153
181;220	4;878962392
161;202	5;891170769
194;181	3;879521396
110;688	1;886987605
269;127	4;891446165
194;1028	2;879541148
229;328	1;891632142
207;591	3;876018608
63;242	3;875747190
194;54	3;879525876
268;930	2;875742942
268;2	2;875744173
100;344	4;891374868
268;145	1;875744501
234;141	3;892334609
181;264	2;878961624
181;872	1;878961814
201;146	1;884140579
269;367	3;891450023
193;96	1;889124507
275;98	4;875155140
222;118	4;877563802
302;322	2;879436875
181;3	2;878963441
201;695	1;884140115
13;198	3;881515193
201;767	4;884114505
302;303	2;879436785
222;77	4;878183616
13;215	5;882140588
101;829	3;877136138
181;1295	1;878961781
82;183	3;878769848
222;724	3;878181976
133;751	3;890588547
254;662	4;887347350
104;984	1;888442575
63;1067	3;875747514
13;56	5;881515011
61;678	3;892302309
275;597	3;876197678
222;151	3;878182109
207;258	4;877879172
207;1115	2;879664906
49;959	2;888068912
21;558	5;874951695
13;344	2;888073635
194;66	3;879527264
234;206	4;892334543
269;522	5;891447773
268;62	3;875310824
234;612	3;892079140
104;117	2;888465972
269;845	1;891456255
234;1451	3;892078343
275;405	2;876197645
102;823	3;888801465
13;186	4;890704999
254;436	2;886474216
222;97	4;878181739
268;436	3;875310745
293;135	5;888905550
13;498	4;882139901
5;17	4;875636198
181;279	1;878962955
201;649	3;884114275
181;325	2;878961814
13;892	3;882774224
269;217	2;891451610
201;960	2;884112077
181;938	1;878961586
222;278	2;877563913
293;770	3;888906655
116;350	3;886977926
269;246	5;891457067
63;289	2;875746985
13;229	4;882397650
246;94	2;884923505
63;762	3;875747688
224;77	4;888103872
193;869	3;889127811
281;338	2;881200457
129;873	1;883245452
254;229	4;886474580
193;879	3;889123257
234;187	4;892079140
181;306	1;878962006
21;370	1;874951293
293;249	3;888905229
268;824	2;876518557
181;741	1;878962918
234;448	3;892335501
193;941	4;889124890
21;222	2;874951382
26;1015	3;891352136
82;508	2;884714249
181;1015	1;878963121
217;597	4;889070087
269;198	4;891447062
222;781	3;881059677
269;22	1;891448072
13;864	4;882141924
269;507	4;891448800
222;812	2;881059117
82;717	1;884714492
269;234	1;891449406
107;333	3;891264267
246;561	1;884923445
13;901	1;883670672
222;26	3;878183043
13;809	4;882397582
15;749	1;879455311
234;1462	3;892333865
269;705	2;891448850
207;13	3;875506839
246;409	2;884923372
101;304	3;877135677
181;762	2;878963418
246;665	4;884922831
5;439	1;878844423
193;407	4;889127921
5;225	2;875635723
222;173	5;878183043
222;49	3;878183512
181;121	4;878962623
234;626	4;892336358
49;302	4;888065432
205;304	3;888284313
234;318	4;892078890
223;328	3;891548959
15;25	3;879456204
268;147	4;876514002
268;217	2;875744501
234;10	3;891227851
262;931	2;879790874
201;272	3;886013700
181;870	2;878962623
201;1100	4;884112800
293;423	3;888906070
82;597	3;878768882
13;823	5;882397833
217;2	3;889069782
222;796	4;878183684
181;1060	1;878962675
13;780	1;882142057
268;21	3;875742822
262;28	3;879792220
234;81	3;892334680
102;70	3;888803537
49;1003	2;888068651
181;1288	1;878962349
224;69	4;888082495
207;318	5;877124871
234;487	3;892079237
194;172	3;879521474
181;927	1;878962675
181;696	2;878962997
21;440	1;874951798
181;405	4;878962919
254;121	3;886472369
194;23	4;879522819
268;955	3;875745160
207;845	3;881681663
161;48	1;891170745
21;129	4;874951382
194;152	3;879549996
254;378	3;886474396
255;1034	1;883217030
104;301	2;888442275
222;448	3;878183565
254;357	3;886472466
102;515	1;888801316
104;285	4;888465201
21;447	5;874951695
110;944	3;886989501
68;237	5;876974133
201;203	5;884114471
20;208	2;879669401
181;930	1;878963275
222;379	1;878184290
223;11	3;891550649
275;186	3;880314383
68;742	1;876974198
268;583	4;876513830
224;178	4;888082468
5;110	1;875636493
234;632	2;892079538
222;53	5;878184113
82;56	3;878769410
161;318	3;891170824
82;477	3;876311344
17;13	3;885272654
21;164	5;874951695
104;756	2;888465739
224;583	1;888103729
110;38	3;886988574
13;418	2;882398763
201;518	4;884112201
13;858	1;882397068
222;87	3;878182589
217;182	2;889070109
13;72	4;882141727
194;77	3;879527421
100;354	2;891375260
275;418	3;875154718
269;252	1;891456350
275;265	4;880314031
275;1091	2;875154535
26;125	4;891371676
234;241	2;892335042
293;137	3;888904653
201;432	3;884111312
13;181	5;882140354
207;68	2;877125350
181;619	3;878963086
207;107	3;876198301
149;319	2;883512658
293;380	2;888907527
207;58	3;875991047
194;187	4;879520813
181;334	1;878961749
193;1078	4;889126943
5;454	1;875721432
102;524	3;888803537
153;174	1;881371140
49;995	3;888065577
268;298	3;875742647
207;554	2;877822854
254;219	1;886475980
63;100	5;875747319
104;299	3;888442436
293;708	3;888907527
217;27	1;889070011
201;148	1;884140751
172;220	4;875537441
82;756	1;878768741
21;324	4;874950889
207;65	3;878104594
181;14	1;878962392
199;221	4;883782854
223;1150	2;891549841
293;325	2;888904353
202;283	3;879727153
194;212	1;879524216
262;617	3;879793715
21;948	1;874951054
181;1332	1;878962278
262;174	3;879791948
206;302	5;888180227
222;22	5;878183285
13;147	3;882397502
268;386	2;875743978
234;147	3;892335372
15;331	3;879455166
223;423	3;891550684
82;194	4;878770027
179;339	1;892151366
116;331	3;876451911
246;721	4;884921794
234;98	4;892078567
194;239	3;879522917
262;64	5;879793022
223;763	3;891550067
161;168	1;891171174
61;323	3;891206450
222;106	2;883816184
49;68	1;888069513
3;335	1;889237269
194;191	4;879521856
262;223	3;879791816
181;1334	1;878962240
254;230	4;886472400
181;1327	1;878963305
110;568	3;886988449
104;287	2;888465347
206;323	1;888179833
205;316	4;888284710
268;790	2;876513785
268;580	3;875309344
222;1041	3;881060155
5;424	1;875635807
13;868	5;882139901
181;328	3;878961227
234;228	3;892079190
5;1	4;875635748
293;166	3;888905520
3;245	1;889237247
101;596	3;877136564
223;908	1;891548802
172;580	4;875538028
82;343	1;884713755
207;25	4;876079113
15;222	3;879455730
194;160	2;879551380
181;1	3;878962392
207;1350	2;877878772
5;363	3;875635225
199;268	5;883782509
201;209	3;884112801
222;88	4;878183336
104;300	3;888442275
268;1041	1;875743735
234;648	3;892826760
234;1397	4;892334976
246;239	3;884921380
13;195	3;881515296
100;268	3;891374982
13;807	1;886304229
181;240	1;878963122
13;121	5;882397503
161;898	3;891170191
35;243	2;875459046
104;1016	1;888466002
181;1010	1;878962774
5;98	3;875720691
293;412	1;888905377
13;308	3;881514726
116;250	4;876452606
63;1007	5;875747368
104;1010	1;888465554
269;1165	1;891446904
224;678	3;888082277
116;255	3;876452524
222;148	2;881061164
246;425	5;884921918
13;396	3;882141727
129;331	2;883244737
193;627	4;889126972
102;322	3;883277645
234;571	2;892318158
222;552	2;878184596
234;1186	4;892335707
26;685	3;891371676
161;98	4;891171357
222;1057	4;881061370
222;1042	4;878184514
201;747	2;884113635
201;215	2;884140382
193;410	3;889127633
255;472	1;883216958
101;222	3;877136243
207;1046	4;875509787
102;625	3;883748418
181;1094	1;878963086
201;51	2;884140751
194;647	4;879521531
116;751	3;890131577
110;578	3;886988536
194;478	3;879521329
234;582	4;892334883
181;408	1;878962550
49;47	5;888068715
13;66	3;882141485
262;386	3;879795512
116;942	3;876454090
269;13	4;891446662
222;1044	4;881060578
82;455	4;876311319
49;625	3;888067031
49;581	3;888068143
104;293	3;888465166
201;1229	3;884140307
3;337	1;889236983
262;821	3;879794887
268;364	3;875743979
262;553	4;879795122
262;293	2;879790906
293;132	4;888905481
13;59	4;882140425
102;161	2;888801876
110;1246	2;886989613
246;1218	3;884922801
269;674	2;891451754
224;191	4;888082468
201;509	3;884111546
194;205	3;879524291
172;462	3;875537717
101;471	3;877136535
5;102	3;875721196
26;235	2;891372429
268;1249	2;875743793
13;150	5;882140588
104;7	3;888465972
293;39	3;888906804
275;69	3;880314089
207;192	3;877822350
262;121	3;879790536
102;448	3;888803002
201;919	3;884141208
234;132	4;892333865
13;354	2;888779458
82;14	4;876311280
223;8	2;891550684
201;69	2;884112901
217;144	4;889069782
181;874	1;878961749
116;1216	3;876452582
116;271	4;886310197
49;547	5;888066187
254;379	1;886474650
234;808	2;892335707
289;282	3;876789180
193;790	3;889127381
209;906	2;883589546
207;716	3;875508783
262;568	3;879794113
269;235	3;891446756
223;977	2;891550295
224;873	2;888082187
269;9	4;891446246
293;79	3;888906045
246;68	5;884922341
101;405	4;877137015
13;331	3;881515457
254;188	3;886473672
201;660	3;884140927
209;251	5;883417810
217;7	4;889069741
49;7	4;888067307
262;754	3;879961283
207;1436	3;878191574
181;1383	1;878962086
201;206	2;884112029
293;605	3;888907702
254;575	3;886476165
49;334	4;888065744
222;1284	4;878184422
161;162	2;891171413
268;1	3;875742341
262;47	2;879794599
199;258	4;883782403
224;20	1;888104487
5;211	4;875636631
223;411	1;891550005
21;103	1;874951245
222;441	2;881059920
49;38	1;888068289
269;47	4;891448386
194;4	4;879521397
268;94	2;875743630
201;1010	3;884140579
5;382	5;875636587
269;658	2;891448497
293;496	5;888905840
269;793	4;891449880
21;98	5;874951657
13;766	4;882139686
201;403	3;884112427
293;748	2;888904327
181;1342	1;878962168
206;900	1;888179980
262;179	4;879962570
223;596	3;891549713
293;779	1;888908066
101;281	2;877136842
201;1245	4;884141015
207;4	4;876198457
21;299	1;874950931
234;1015	2;892079617
201;79	4;884112245
5;376	2;879198045
104;411	1;888465739
275;449	3;876198328
21;457	1;874951054
181;16	1;878962996
21;596	3;874951617
110;682	4;886987354
181;327	3;878961780
207;87	4;884386260
234;20	4;891227979
275;501	3;875154718
194;234	3;879521167
201;197	4;884113422
194;792	4;879524504
181;979	2;878963241
68;7	3;876974096
13;14	4;884538727
211;127	4;879461498
254;1116	3;886473448
63;20	3;875748004
40;268	4;889041430
181;221	1;878962465
104;327	2;888442202
181;995	1;878961585
201;853	4;884114635
229;347	1;891632073
101;252	3;877136628
63;1028	3;875748198
275;520	4;880314218
275;173	3;875154795
15;473	1;879456204
293;288	3;888904327
269;285	5;891446165
224;332	3;888103429
116;7	2;876453915
209;688	1;883589626
82;231	2;878769815
223;969	5;891550649
107;271	2;891264432
26;25	3;891373727
15;678	1;879455311
82;411	3;878768902
293;346	3;888904004
228;475	3;889388521
82;919	3;876311280
246;82	2;884921986
13;320	1;882397010
268;63	1;875743792
194;237	3;879538959
194;82	2;879524216
262;96	4;879793022
269;156	5;891449364
224;949	3;888104057
13;451	1;882141872
63;50	4;875747292
255;448	3;883216544
234;161	3;892335824
13;493	5;882140206
269;82	2;891450780
5;62	4;875637575
181;1164	3;878962464
222;1207	2;881060659
5;231	2;875635947
104;249	3;888465675
201;686	2;884112352
13;289	2;882140759
262;786	3;879795319
234;614	3;892334609
207;810	2;877125506
262;509	3;879792818
13;488	3;890704999
49;17	2;888068651
275;258	3;875154310
268;470	3;875310745
254;624	2;886473254
181;1001	1;878963038
254;418	3;886473078
268;52	3;875309319
207;121	3;875504876
26;455	3;891371506
234;705	5;892318002
5;377	1;878844615
268;684	3;875744321
100;321	1;891375112
269;729	2;891448569
222;29	3;878184571
201;421	2;884111708
207;864	3;877750738
223;318	4;891550711
269;616	4;891450453
26;1016	3;891377609
193;435	4;889124439
217;22	5;889069741
63;222	3;875747635
13;848	5;882140001
179;905	4;892151331
13;144	4;882397146
181;1348	1;878962200
15;932	1;879456465
234;233	2;892335990
15;127	2;879455505
110;1179	2;886989501
181;302	2;878961511
234;617	3;892078741
268;264	3;876513607
224;215	4;888082612
234;482	4;892334803
13;476	2;882141997
234;50	4;892079237
40;880	3;889041643
293;629	3;888907753
234;134	5;892333573
201;313	5;884110598
3;343	3;889237122
224;658	1;888103840
234;618	3;892078343
246;8	3;884921245
255;678	2;883215795
104;269	5;888441878
13;97	4;882399357
82;596	3;876311195
201;405	4;884112427
193;332	3;889123257
207;531	4;877878342
293;1161	2;888905062
13;781	3;882399528
13;338	1;882140740
201;117	2;884112487
262;11	4;879793597
302;323	2;879436875
229;313	2;891631948
224;528	3;888082658
293;665	2;888908117
293;36	1;888908041
102;405	2;888801812
21;839	1;874951797
194;663	4;879524292
82;661	4;878769703
5;407	3;875635431
15;685	4;879456288
222;135	5;878181563
224;149	1;888103999
268;135	4;875309583
181;1320	1;878962279
49;49	2;888068990
207;827	3;876018501
21;184	4;874951797
246;406	3;884924749
201;292	3;884110598
5;24	4;879198229
13;167	4;882141659
